Timestamp: 2026-09-17T20:03:06.771Z | Architecture: WITHOUT_FOG | TxHash: 0x1bd2358e23da7320aae2aa5da6d03b6faf17a160bff9aba2c1c4523231c49916 | CID: QmUxGHzV8CGstVaizYxYeFVNHrUtmU4KK9eazSQrCUhxW8 | Latency: 78.963 ms | IPFS Storage Time: 77.032 ms | Throughput: 0.006 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:03:44.324Z | Architecture: WITHOUT_FOG | TxHash: 0xb0d4dfd7f450fac62fd5eaded62055c760de3b346364ad7af27fe84e0a204f70 | CID: QmSctaRchFmBrUp2SLutr3kZ5YSW38HCA1VrsfHthignby | Latency: 130.229 ms | IPFS Storage Time: 119.449 ms | Throughput: 0.0062 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:04:06.477Z | Architecture: WITHOUT_FOG | TxHash: 0xf24a05827188acf1cf641c8cc06c49eccba48fe3a8e1a90d856e1e4819fed71a | CID: QmesL9i4H4sYRKyMQgnF3jRG5tPNXrSD5wrx6sHgTZGQue | Latency: 118.609 ms | IPFS Storage Time: 111.328 ms | Throughput: 0.0063 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:04:31.060Z | Architecture: WITHOUT_FOG | TxHash: 0x3bfb86e32716d702c37d7078e00533b01d0d2a16c3e0ae6e0fc6c3bec3601d49 | CID: QmNspr4huHQA1D85F2DZwFLkj4orpFxnKAdabsNrpE621Y | Latency: 71.809 ms | IPFS Storage Time: 69.741 ms | Throughput: 0.0064 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:05:04.290Z | Architecture: WITHOUT_FOG | TxHash: 0xff8c6c2c634290c65c1d18f122f35b7e4fdb9a829b1f48fbd5f686ddc379bbb3 | CID: QmUPnKCp29Ac2fxkVAU9WDSRjVp8AKKzKt8sXJ57R7EzKb | Latency: 88.372 ms | IPFS Storage Time: 85.333 ms | Throughput: 0.0066 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:05:29.265Z | Architecture: WITHOUT_FOG | TxHash: 0x32bdf36d29453bea32fe987436697e4ca2b9a72966e3896179768698679b2b60 | CID: Qma4qEYNX3BSehbnuXGLLykb1N55o7Kw2yJWRxVS9rnXRD | Latency: 72.338 ms | IPFS Storage Time: 70.022 ms | Throughput: 0.0067 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:06:18.032Z | Architecture: WITHOUT_FOG | TxHash: 0x25ad2493e61ed8368b72e401bcc511f2a1788b9cdfabb7c9faae1805585b9c14 | CID: QmQjeC5YrnAkNVEPjCcXXJMnVvqp6bkQw34b4oH7myo9xE | Latency: 24.195 ms | IPFS Storage Time: 21.132 ms | Throughput: 0.0068 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:06:47.481Z | Architecture: WITHOUT_FOG | TxHash: 0x163b24056fc1018019a5254b56893c3514c0da2de87daf62e0a2730341f8a785 | CID: QmNiQwFTXkUHX6YE35KYdCR4jDRgp776BGDcPibYsrj7Bn | Latency: 82.812 ms | IPFS Storage Time: 75.197 ms | Throughput: 0.0069 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:07:18.859Z | Architecture: WITHOUT_FOG | TxHash: 0x738feccb865cbf3196832faa15bdad72b9defbd9425d69ed6f44c4742be72325 | CID: QmWXLBDmcvKtBdvu3jzq6C5Axax9GsfjMGYGE4J58qzdd1 | Latency: 63.387 ms | IPFS Storage Time: 60.715 ms | Throughput: 0.0071 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:07:51.505Z | Architecture: WITHOUT_FOG | TxHash: 0xfa83b38be5b01478aef93cc2c3764e471ffae869c67eefcee0899e9806dd07e7 | CID: QmVimRLt7YL5MqSZ138dbWQtrNMRM2zydJBP618xGoA1Pb | Latency: 95.559 ms | IPFS Storage Time: 91.423 ms | Throughput: 0.0072 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:08:23.392Z | Architecture: WITHOUT_FOG | TxHash: 0x3567845f59bed93fa0abebd8a693fa471815ff1d52319d5ad9cdd9d94443eb58 | CID: QmQgmutCvWwcQhr6WR5y1T4w7tXYqSCB2tQPPFWC8H2RGL | Latency: 85.68 ms | IPFS Storage Time: 83.857 ms | Throughput: 0.0073 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:10:02.527Z | Architecture: WITHOUT_FOG | TxHash: 0x99d8ff75ba9a785819bb9b3d6da3d294defc4c1d840298b6751e501a6c47b2d7 | CID: QmPMnLj5QdD3mWgV9BwCXbo8ibzPUXCK1a1BLqBK68eHVY | Latency: 204.792 ms | IPFS Storage Time: 202.62 ms | Throughput: 0.0073 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:10:23.229Z | Architecture: WITHOUT_FOG | TxHash: 0x7ca38b36a86f704dd6a746798e18f67a37ee7d6990be0bc674b025d75560c6bb | CID: QmeUNwEw4CHVt59HkTGgJLvNivVwMEpBWupAVGpJahohEv | Latency: 70.727 ms | IPFS Storage Time: 67.056 ms | Throughput: 0.0075 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:10:39.007Z | Architecture: WITHOUT_FOG | TxHash: 0x7bc54bc4e6bf17baf8f8278ab3c34ee333b755cd83ce67fe0c48288d714a7358 | CID: QmRU2w9YqJ9RvfLNy9PUiNtYe11qse5qGLB9JQxU9z96uR | Latency: 36.85 ms | IPFS Storage Time: 30.054 ms | Throughput: 0.0076 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:13:18.872Z | Architecture: WITHOUT_FOG | TxHash: 0xadb751ecb33461a021a2109fba6bfaf8684b5c800c58b92370c6c04cda72eaa7 | CID: QmZWvThtRxR3tfWs3tkGAr5PKXfj1RwCjBkNZEurXRTcgD | Latency: 71.221 ms | IPFS Storage Time: 68.234 ms | Throughput: 0.0076 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:14:11.356Z | Architecture: WITHOUT_FOG | TxHash: 0xc9396fe932830a2bacbc783ced545ce8bef8d8fe9efc14784e3cbd523af2b47c | CID: Qmcg3V35UCQMQnPxHAefGVZu3WvDg3xBXoqg4DbNdFe1ue | Latency: 92.242 ms | IPFS Storage Time: 86.694 ms | Throughput: 0.0077 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:15:04.681Z | Architecture: WITHOUT_FOG | TxHash: 0x5f176586b97b10ddcd48570c0e9dd3edf6ea4a8d54e4e09b3eae097656928cdd | CID: QmS3Bz5jAVwK2ScYA1N228h4dek5CfeE25okiS16j6cBHd | Latency: 76.633 ms | IPFS Storage Time: 74.421 ms | Throughput: 0.0078 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:15:35.174Z | Architecture: WITHOUT_FOG | TxHash: 0x61f82e023ab9ac0c13a5ad9b70cbb90efeb6c012ed8304b757f8d5578bbc0fa4 | CID: QmS3SDwXamUdRVE9UpXDUT9ntrGgWjHqAqbK11F2JkBPcM | Latency: 87.682 ms | IPFS Storage Time: 64.564 ms | Throughput: 0.0079 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:16:02.886Z | Architecture: WITHOUT_FOG | TxHash: 0x84ee8df1e6959cc90614767a2a1e07cfb791d16b24f6cb87d5d98c8b5986377f | CID: QmTCnb7euWuwcmDLyQC8thxGEetqvAQwPv5e7TmJH5Mz9d | Latency: 69.348 ms | IPFS Storage Time: 65.967 ms | Throughput: 0.008 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:16:36.176Z | Architecture: WITHOUT_FOG | TxHash: 0x4629f9f99ed1e7c9d864e2082b47ed3da0d5e421d6acd09f6d9cb6a5ef130eff | CID: QmPXLNoDv1F6YBj5kQ6A9xmYSGdEtjwr4Gi1PzGH8Ph2Ya | Latency: 70.78 ms | IPFS Storage Time: 68.985 ms | Throughput: 0.0081 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:17:08.441Z | Architecture: WITHOUT_FOG | TxHash: 0xa35c6f2ebb0e927fb7450dee29a54cb337e3b38384e91cc24e55bb43426ca517 | CID: QmQPMqRdvfEHu7rw8p9egbyjk3hcardksHew9KWSUUp3RQ | Latency: 75.484 ms | IPFS Storage Time: 66.574 ms | Throughput: 0.0082 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:17:47.490Z | Architecture: WITHOUT_FOG | TxHash: 0x540151e610c6e81bbc7398acbb116cd2bbf9c1bdc12fb1b33bf1cccd10377fd6 | CID: QmYceWA6BeVveqUyA1yA7i5Hbi8v7kfcPPSJ51FpK9XQxK | Latency: 62.039 ms | IPFS Storage Time: 42.752 ms | Throughput: 0.0083 TPS | Status: SUCCESS
